C:\Users\peter\Desktop\Touchscreen DOE\Subject Data\Children\TDOE_2_25_19.emrg2,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Age,SessionDate,Group,Block,BothSelected,ComparisonStimuli.ACC,ComparisonStimuli.RESP,ComparisonStimuli.RT,CorrectAnswer,NumericCorrectAnswer,CorrectAnswerL,CorrectAnswerR,Trial,FbMovie,LeftResponseStimulus,ResponseStimulus,RightResponseStimulus,Running,SampleStimulus
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,3,,0,TimedOut,5000,Right,1,,,1,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,4,,1,Right,838,Right,1,,,2,Trolls01.avi,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,5,,1,Left,1337,Left,2,,,3,Moana01.avi,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,6,,0,TimedOut,5000,Left,2,,,4,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,7,,0,Left,1200,Right,1,,,5,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,8,,1,Right,966,Right,1,,,6,Trolls02.avi,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,9,,1,Left,1198,Left,2,,,7,Moana02.avi,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,10,,0,Right,760,Left,2,,,8,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,11,,1,Right,1104,Right,1,,,9,Trolls03.avi,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,12,,0,Left,1112,Right,1,,,10,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,13,,0,Right,1104,Left,2,,,11,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,14,,0,Left,998,Right,1,,,12,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,15,,0,Right,1062,Left,2,,,13,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,16,,1,Left,1167,Left,2,,,14,Moana03.avi,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,17,,0,Right,1460,Left,2,,,15,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,18,,1,Left,1217,Left,2,,,16,Moana04.avi,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,19,,1,Left,590,Left,2,,,17,Moana05.avi,,,,1,Circle_Solid.png
